,t,T,process
4034,9.141666666668073,304.18199999999996,DoE2_R2
4035,9.150000000001405,304.18199999999996,DoE2_R2
4036,9.158333333334745,304.18199999999996,DoE2_R2
4037,9.166666666668078,304.18199999999996,DoE2_R2
4038,9.175000000001411,304.18199999999996,DoE2_R2
4039,9.183333333334751,304.18199999999996,DoE2_R2
4040,9.191666666668084,304.18199999999996,DoE2_R2
4041,9.200000000001417,304.18199999999996,DoE2_R2
4042,9.20833333333475,304.18199999999996,DoE2_R2
4043,9.216666666668083,304.18199999999996,DoE2_R2
4044,9.225000000001423,304.161,DoE2_R2
4045,9.233333333334755,304.161,DoE2_R2
4046,9.241666666668088,304.161,DoE2_R2
4047,9.249722222223646,304.13399999999996,DoE2_R2
4048,9.258055555556986,304.13399999999996,DoE2_R2
4049,9.266388888890319,304.13399999999996,DoE2_R2
4050,9.275000000001427,304.13399999999996,DoE2_R2
4051,9.283055555556984,304.13399999999996,DoE2_R2
4052,9.291388888890317,304.13399999999996,DoE2_R2
4053,9.300000000001432,304.13399999999996,DoE2_R2
4054,9.308333333334765,304.13399999999996,DoE2_R2
4055,9.316666666668105,304.13399999999996,DoE2_R2
4056,9.325000000001438,304.13399999999996,DoE2_R2
4057,9.333333333334771,304.13399999999996,DoE2_R2
4058,9.341666666668104,304.13399999999996,DoE2_R2
4059,9.350000000001437,304.13399999999996,DoE2_R2
4060,9.358333333334777,304.13399999999996,DoE2_R2
4061,9.36666666666811,304.13399999999996,DoE2_R2
4062,9.375000000001442,304.13399999999996,DoE2_R2
4063,9.383333333334782,304.07899999999995,DoE2_R2
4064,9.391666666668115,304.07899999999995,DoE2_R2
4065,9.400000000001448,304.07899999999995,DoE2_R2
4066,9.408333333334781,304.07899999999995,DoE2_R2
4067,9.416666666668114,304.07899999999995,DoE2_R2
4068,9.425000000001454,304.07899999999995,DoE2_R2
4069,9.433333333334787,304.07899999999995,DoE2_R2
4070,9.44166666666812,304.07899999999995,DoE2_R2
4071,9.45000000000146,304.07899999999995,DoE2_R2
4072,9.458333333334792,304.07899999999995,DoE2_R2
4073,9.466666666668125,304.07899999999995,DoE2_R2
4074,9.475000000001458,304.07899999999995,DoE2_R2
4075,9.483333333334791,304.14799999999997,DoE2_R2
4076,9.49166666666813,304.14799999999997,DoE2_R2
4077,9.500000000001464,304.14799999999997,DoE2_R2
4078,9.508333333334797,304.14799999999997,DoE2_R2
4079,9.516666666668137,304.21599999999995,DoE2_R2
4080,9.52500000000147,304.21599999999995,DoE2_R2
4081,9.533333333334802,304.21599999999995,DoE2_R2
4082,9.541666666668135,304.21599999999995,DoE2_R2
4083,9.550000000001468,304.21599999999995,DoE2_R2
4084,9.558333333334808,304.21599999999995,DoE2_R2
4085,9.56666666666814,304.28099999999995,DoE2_R2
4086,9.575000000001474,304.28099999999995,DoE2_R2
4087,9.583055555557031,304.381,DoE2_R2
4088,9.591388888890371,304.428,DoE2_R2
4089,9.599722222223704,304.48199999999997,DoE2_R2
4090,9.608055555557037,304.48199999999997,DoE2_R2
4091,9.61638888889037,304.55699999999996,DoE2_R2
4092,9.624722222223703,304.55699999999996,DoE2_R2
4093,9.633055555557043,304.62399999999997,DoE2_R2
4094,9.64166666666815,304.62399999999997,DoE2_R2
4095,9.65000000000149,304.695,DoE2_R2
4096,9.658333333334824,304.695,DoE2_R2
4097,9.666666666668156,304.695,DoE2_R2
4098,9.67500000000149,304.695,DoE2_R2
4099,9.683333333334822,304.72999999999996,DoE2_R2
4100,9.691666666668162,304.72999999999996,DoE2_R2
4101,9.700000000001495,304.72999999999996,DoE2_R2
4102,9.708333333334828,304.72999999999996,DoE2_R2
4103,9.716666666668168,304.72999999999996,DoE2_R2
4104,9.7250000000015,304.75199999999995,DoE2_R2
4105,9.733333333334834,304.75199999999995,DoE2_R2
